Frame#,Time,C7_X,C7_Y,C7_Z,LANK_X,LANK_Y,LANK_Z,LASI_X,LASI_Y,LASI_Z,LELB_X,LELB_Y,LELB_Z,LFIN_X,LFIN_Y,LFIN_Z,LHEE_X,LHEE_Y,LHEE_Z,LKNE_X,LKNE_Y,LKNE_Z,LPSI_X,LPSI_Y,LPSI_Z,LSHO_X,LSHO_Y,LSHO_Z,LTOE_X,LTOE_Y,LTOE_Z,LWRA_X,LWRA_Y,LWRA_Z,LWRB_X,LWRB_Y,LWRB_Z,RANK_X,RANK_Y,RANK_Z,RELB_X,RELB_Y,RELB_Z,RFIN_X,RFIN_Y,RFIN_Z,RHEE_X,RHEE_Y,RHEE_Z,RKNE_X,RKNE_Y,RKNE_Z,RPSI_X,RPSI_Y,RPSI_Z,RSHO_X,RSHO_Y,RSHO_Z,RTOE_X,RTOE_Y,RTOE_Z,RWRA_X,RWRA_Y,RWRA_Z,RWRB_X,RWRB_Y,RWRB_Z,STRN_X,STRN_Y,STRN_Z
21,0.199813,-0.211023,1.42385,-0.00915323,-0.412988,0.0897045,0.121579,-0.331779,0.97218,0.168621,-0.212369,1.05567,0.276215,-0.199709,0.72436,0.311629,-0.34072,0.0602997,0.0743002,-0.491311,0.477331,0.145873,-0.185913,0.961278,0.0466389,-0.251104,1.39926,0.176199,-0.580753,0.0647988,0.0543142,-0.235393,0.805306,0.255134,-0.169923,0.81477,0.289009,0.0477788,0.255241,-0.114337,-0.376215,1.06644,-0.240853,-0.529389,0.755157,-0.212127,0.0859593,0.315563,-0.0440044,-0.316674,0.445106,-0.164671,-0.186779,0.955838,-0.0181758,-0.314578,1.4103,-0.167198,0.0429058,0.0858268,-0.0657166,-0.487319,0.848579,-0.16414,-0.459409,0.821983,-0.226334,-0.425569,1.19781,0.0331474
22,0.209803,-0.210338,1.42692,-0.00776166,-0.399908,0.0897512,0.121628,-0.331433,0.974603,0.169529,-0.222036,1.0571,0.277087,-0.2202,0.725354,0.310598,-0.327762,0.0602111,0.0742036,-0.482146,0.47662,0.146806,-0.185544,0.964236,0.0478648,-0.252565,1.40275,0.177346,-0.567588,0.0646996,0.0543955,-0.251974,0.807631,0.253685,-0.186994,0.814883,0.289017,0.0355345,0.26159,-0.11208,-0.370243,1.06817,-0.239532,-0.511558,0.750683,-0.217708,0.0747896,0.319225,-0.0399027,-0.330241,0.44839,-0.164267,-0.186469,0.959471,-0.0170137,-0.312247,1.41291,-0.166991,0.0264464,0.0917308,-0.067538,-0.474423,0.845139,-0.167572,-0.444798,0.820948,-0.229785,-0.424684,1.20064,0.0328308
23,0.219794,-0.209463,1.43017,-0.00652906,-0.386761,0.0898205,0.121748,-0.330872,0.977048,0.17039,-0.231938,1.05902,0.277956,-0.241313,0.727143,0.309329,-0.314415,0.0604,0.0743321,-0.47269,0.476042,0.147595,-0.18473,0.967948,0.0490556,-0.253795,1.40646,0.178286,-0.554386,0.0646909,0.0544574,-0.268779,0.81067,0.251966,-0.204626,0.81567,0.289096,0.0225241,0.266693,-0.109737,-0.363943,1.07034,-0.238449,-0.493282,0.747374,-0.223445,0.063857,0.321197,-0.0360845,-0.343375,0.452404,-0.163878,-0.185799,0.963605,-0.0157014,-0.309692,1.41577,-0.166831,0.00754548,0.0968401,-0.0692045,-0.461228,0.842588,-0.171053,-0.42969,0.820758,-0.233078,-0.423405,1.20361,0.0323729
24,0.229784,-0.208678,1.43344,-0.00538628,-0.37357,0.0899013,0.12178,-0.330074,0.979512,0.171216,-0.242128,1.0614,0.278775,-0.262999,0.729744,0.307889,-0.301094,0.0605891,0.0744325,-0.462762,0.475561,0.148105,-0.183734,0.972234,0.0500795,-0.254779,1.41032,0.179057,-0.54115,0.0647461,0.0545185,-0.285915,0.814445,0.250053,-0.222854,0.817238,0.288928,0.00867137,0.270193,-0.107453,-0.357297,1.07287,-0.237659,-0.474675,0.7452,-0.229203,0.0523734,0.321465,-0.0326652,-0.356031,0.45704,-0.163358,-0.184951,0.967911,-0.0144366,-0.307099,1.41885,-0.166696,-0.0126081,0.100625,-0.0704556,-0.447762,0.840865,-0.174525,-0.414239,0.821358,-0.236132,-0.421727,1.20673,0.0317453
25,0.239775,-0.207763,1.4368,-0.00433984,-0.360349,0.0900126,0.121693,-0.32889,0.981997,0.172017,-0.252469,1.06422,0.279698,-0.285142,0.733196,0.306242,-0.287947,0.060643,0.0743617,-0.452348,0.475141,0.148384,-0.182754,0.976855,0.0508969,-0.255461,1.41424,0.179694,-0.52788,0.0647984,0.0545495,-0.303334,0.818931,0.247997,-0.241348,0.81953,0.288615,-0.00586043,0.271985,-0.105347,-0.350263,1.07565,-0.237195,-0.455883,0.744049,-0.234842,0.0401142,0.320063,-0.0296581,-0.368227,0.462249,-0.162668,-0.184046,0.972183,-0.0133724,-0.304426,1.42201,-0.166517,-0.0334405,0.102764,-0.0714082,-0.434074,0.839905,-0.177885,-0.398599,0.822655,-0.238971,-0.420068,1.20994,0.0309608
26,0.249766,-0.206789,1.44009,-0.00339846,-0.347126,0.0901678,0.121496,-0.327235,0.98447,0.172764,-0.262921,1.06754,0.280513,-0.307324,0.73761,0.304031,-0.274857,0.0606293,0.0741097,-0.441484,0.474734,0.148593,-0.18164,0.981423,0.0515618,-0.255873,1.41814,0.180211,-0.514603,0.0648078,0.0545344,-0.320495,0.824077,0.245539,-0.260042,0.822345,0.288253,-0.0209221,0.272102,-0.103449,-0.342818,1.07858,-0.237085,-0.437027,0.743769,-0.240219,0.0271534,0.317073,-0.0270424,-0.38,0.467905,-0.161911,-0.183037,0.976308,-0.0124931,-0.301749,1.42519,-0.166237,-0.0548317,0.103494,-0.0720431,-0.420346,0.839617,-0.181135,-0.382919,0.824529,-0.241597,-0.418451,1.21321,0.030059
27,0.259756,-0.205797,1.44327,-0.00253877,-0.333912,0.0903289,0.121259,-0.325523,0.986779,0.173537,-0.273386,1.07134,0.281223,-0.329588,0.742982,0.301343,-0.261433,0.0608723,0.0739735,-0.430159,0.474382,0.148659,-0.180629,0.985858,0.0520381,-0.256085,1.422,0.180668,-0.501375,0.0648028,0.0544639,-0.337562,0.829872,0.242715,-0.2789,0.825794,0.287717,-0.0364974,0.270516,-0.101707,-0.33496,1.08157,-0.237365,-0.418297,0.744162,-0.245211,0.0136227,0.312642,-0.0247806,-0.391302,0.473853,-0.161159,-0.18141,0.980384,-0.0116908,-0.299305,1.42839,-0.165899,-0.0769081,0.103058,-0.0724506,-0.406597,0.83989,-0.184403,-0.367445,0.826816,-0.244042,-0.416857,1.21652,0.0290318
28,0.269747,-0.204869,1.44627,-0.00169481,-0.320726,0.0905126,0.120982,-0.323997,0.988923,0.174474,-0.283801,1.0754,0.281795,-0.352073,0.749074,0.29841,-0.248171,0.0610175,0.0739818,-0.418389,0.474078,0.148547,-0.179766,0.990002,0.052333,-0.256138,1.42577,0.181078,-0.488201,0.0647925,0.0543473,-0.354624,0.836287,0.239579,-0.297947,0.829894,0.286945,-0.0525134,0.267709,-0.100381,-0.32672,1.08456,-0.237982,-0.400082,0.745005,-0.249866,-0.00040799,0.306794,-0.022923,-0.402129,0.480016,-0.160335,-0.179391,0.984353,-0.0110387,-0.297138,1.43151,-0.1655,-0.0997886,0.10174,-0.0727863,-0.392937,0.840621,-0.187759,-0.352391,0.829406,-0.246634,-0.415324,1.21985,0.0278947
29,0.279738,-0.204004,1.44908,-0.000893352,-0.307581,0.090719,0.120627,-0.322379,0.99088,0.175396,-0.294031,1.07957,0.2823,-0.374646,0.755954,0.295273,-0.235184,0.0609918,0.0738796,-0.406291,0.473861,0.148321,-0.178575,0.993844,0.0524793,-0.256086,1.42937,0.18143,-0.475067,0.064806,0.0541772,-0.371446,0.843226,0.236475,-0.317084,0.834587,0.285974,-0.0687442,0.263624,-0.0992873,-0.318312,1.08747,-0.238814,-0.382467,0.746101,-0.254135,-0.0148619,0.299609,-0.0213801,-0.412337,0.486251,-0.159481,-0.178975,0.987499,-0.0110659,-0.295093,1.43438,-0.165011,-0.123535,0.0997801,-0.0730288,-0.379389,0.841726,-0.191218,-0.33768,0.832131,-0.249509,-0.41384,1.22307,0.0267282
30,0.289728,-0.203167,1.45166,-0.000156894,-0.294484,0.090926,0.120229,-0.320635,0.992565,0.176253,-0.303897,1.08383,0.282752,-0.397121,0.763634,0.291901,-0.222495,0.0610002,0.073441,-0.394045,0.473741,0.148075,-0.177549,0.99716,0.0524673,-0.256047,1.43277,0.181742,-0.461947,0.0648211,0.0539955,-0.387906,0.850587,0.233413,-0.336185,0.8398,0.284767,-0.0854772,0.258176,-0.0980029,-0.309811,1.09024,-0.239853,-0.365317,0.747245,-0.257919,-0.0297135,0.291071,-0.0200691,-0.421891,0.492428,-0.158493,-0.179744,0.989949,-0.0116646,-0.293185,1.4369,-0.164455,-0.148231,0.0973486,-0.0732823,-0.366059,0.843028,-0.194866,-0.323313,0.834856,-0.252591,-0.412429,1.22611,0.0256839
