Frame#,Time,C7_X,C7_Y,C7_Z,LANK_X,LANK_Y,LANK_Z,LASI_X,LASI_Y,LASI_Z,LELB_X,LELB_Y,LELB_Z,LFIN_X,LFIN_Y,LFIN_Z,LHEE_X,LHEE_Y,LHEE_Z,LKNE_X,LKNE_Y,LKNE_Z,LPSI_X,LPSI_Y,LPSI_Z,LSHO_X,LSHO_Y,LSHO_Z,LTOE_X,LTOE_Y,LTOE_Z,LWRA_X,LWRA_Y,LWRA_Z,LWRB_X,LWRB_Y,LWRB_Z,RANK_X,RANK_Y,RANK_Z,RELB_X,RELB_Y,RELB_Z,RFIN_X,RFIN_Y,RFIN_Z,RHEE_X,RHEE_Y,RHEE_Z,RKNE_X,RKNE_Y,RKNE_Z,RPSI_X,RPSI_Y,RPSI_Z,RSHO_X,RSHO_Y,RSHO_Z,RTOE_X,RTOE_Y,RTOE_Z,RWRA_X,RWRA_Y,RWRA_Z,RWRB_X,RWRB_Y,RWRB_Z,STRN_X,STRN_Y,STRN_Z
21,0.19982,-0.0878391,1.45981,0.0176726,-0.170464,0.0917504,0.107332,-0.202797,0.993077,0.175012,-0.222549,1.08459,0.296424,-0.339549,0.775009,0.305388,-0.101102,0.0610245,0.0533512,-0.245439,0.474983,0.145758,-0.0570011,0.997063,0.0504536,-0.166315,1.43249,0.18945,-0.340163,0.0662822,0.0516106,-0.316775,0.857037,0.244773,-0.270172,0.843542,0.299412,0.0298594,0.248286,-0.117445,-0.149452,1.09449,-0.250169,-0.229595,0.75578,-0.268312,0.0919775,0.278289,-0.0405815,-0.302792,0.497034,-0.156902,-0.0557653,0.99051,-0.0136156,-0.1599,1.4395,-0.158095,-0.0490138,0.0989883,-0.0887714,-0.224582,0.853078,-0.209486,-0.179429,0.839524,-0.264836,-0.283983,1.21801,0.0148591
22,0.209811,-0.0875641,1.46055,0.0192266,-0.162518,0.0918361,0.107282,-0.201536,0.99292,0.175853,-0.228537,1.08664,0.298084,-0.351804,0.779762,0.305539,-0.0930149,0.0611796,0.0533586,-0.238883,0.474604,0.146186,-0.0558736,0.997925,0.0507067,-0.16766,1.43356,0.190144,-0.332209,0.0662312,0.0516294,-0.325112,0.860438,0.244891,-0.280907,0.846602,0.301171,0.0181956,0.243747,-0.116371,-0.142902,1.09523,-0.249521,-0.220985,0.756237,-0.269813,0.0812114,0.27019,-0.0388377,-0.308426,0.500231,-0.156029,-0.0545032,0.991396,-0.01331,-0.157708,1.44002,-0.157157,-0.0660777,0.0970713,-0.0905893,-0.217983,0.853522,-0.210667,-0.171222,0.840123,-0.265032,-0.283181,1.21853,0.0143426
23,0.219803,-0.0873112,1.46116,0.0206853,-0.154579,0.091888,0.1072,-0.200255,0.992684,0.176564,-0.234327,1.08855,0.299546,-0.363855,0.784512,0.3054,-0.0850329,0.061265,0.0533272,-0.232285,0.474221,0.146579,-0.054772,0.998699,0.0509708,-0.169017,1.43455,0.190849,-0.324245,0.0662146,0.0516583,-0.333341,0.863878,0.24485,-0.291459,0.849625,0.302496,0.00611469,0.238248,-0.115431,-0.13645,1.09587,-0.248803,-0.212599,0.756611,-0.271259,0.0698737,0.261062,-0.0371806,-0.313635,0.50336,-0.155138,-0.0530799,0.992173,-0.0129528,-0.155579,1.44039,-0.156245,-0.0839709,0.0948806,-0.0922367,-0.211554,0.853865,-0.211812,-0.163307,0.840552,-0.264808,-0.282296,1.21895,0.0139522
24,0.229794,-0.087049,1.46165,0.0220867,-0.146728,0.0918565,0.107064,-0.19884,0.992394,0.177207,-0.239898,1.09044,0.300923,-0.375603,0.789253,0.30491,-0.0772028,0.0612688,0.0532631,-0.225631,0.473858,0.146895,-0.0536276,0.999378,0.0512959,-0.170398,1.43547,0.191545,-0.316265,0.0661943,0.0516606,-0.341456,0.867306,0.244645,-0.301756,0.852673,0.303528,-0.00625743,0.232024,-0.114672,-0.130127,1.0964,-0.248037,-0.204381,0.756864,-0.272605,0.0579302,0.250994,-0.0356273,-0.318489,0.506357,-0.154254,-0.0516635,0.992798,-0.0125799,-0.153527,1.44061,-0.155382,-0.102619,0.092363,-0.0936557,-0.205259,0.854128,-0.212933,-0.155536,0.840823,-0.264318,-0.281348,1.21924,0.013699
25,0.239785,-0.0868001,1.46206,0.0233975,-0.13883,0.0918328,0.106934,-0.197152,0.992085,0.177963,-0.245268,1.09227,0.30222,-0.38694,0.793902,0.304017,-0.0691312,0.0613806,0.0533037,-0.219015,0.473452,0.147141,-0.0524575,0.999928,0.0516617,-0.171482,1.43622,0.192087,-0.308273,0.0661662,0.0516433,-0.349487,0.870698,0.244261,-0.311745,0.855682,0.30424,-0.019122,0.22526,-0.113911,-0.123998,1.09679,-0.247223,-0.196218,0.756992,-0.27374,0.0453341,0.240028,-0.0341302,-0.322946,0.509207,-0.153413,-0.0502267,0.993258,-0.0121839,-0.151566,1.44068,-0.154576,-0.121652,0.0893512,-0.0950074,-0.19898,0.854295,-0.21407,-0.147829,0.841004,-0.26401,-0.280395,1.21934,0.0135976
26,0.249776,-0.0865851,1.46237,0.0246006,-0.130603,0.0920476,0.106947,-0.195679,0.991695,0.178564,-0.250453,1.09389,0.303354,-0.397897,0.79839,0.302782,-0.0608101,0.061639,0.0534896,-0.212483,0.473001,0.147359,-0.0512576,1.0003,0.0520602,-0.172548,1.4368,0.19259,-0.300269,0.0661405,0.0516473,-0.357419,0.874025,0.243712,-0.321375,0.858726,0.304808,-0.0326034,0.217781,-0.113243,-0.118111,1.09705,-0.246347,-0.188237,0.756998,-0.274754,0.0320441,0.228391,-0.0327771,-0.326935,0.511904,-0.152586,-0.0487512,0.993576,-0.0117594,-0.149653,1.44059,-0.153833,-0.14124,0.0860321,-0.0963877,-0.192717,0.854336,-0.215238,-0.140141,0.841143,-0.263831,-0.279452,1.21925,0.0136671
27,0.259767,-0.0863652,1.46257,0.0257157,-0.122349,0.0923167,0.106932,-0.194436,0.991238,0.179008,-0.25543,1.09541,0.304477,-0.408406,0.802631,0.301185,-0.0527042,0.0617568,0.053468,-0.206173,0.472554,0.147631,-0.0499938,1.00051,0.0525265,-0.173628,1.43721,0.193081,-0.292251,0.0660956,0.0516195,-0.365102,0.877351,0.243038,-0.330759,0.861602,0.304967,-0.0467949,0.209633,-0.112661,-0.112484,1.09718,-0.245426,-0.180293,0.756863,-0.275597,0.0180191,0.216562,-0.0317807,-0.330468,0.514406,-0.151764,-0.0472444,0.99377,-0.0112938,-0.147798,1.44033,-0.153129,-0.161545,0.0828055,-0.0979372,-0.186694,0.854284,-0.216355,-0.132611,0.841132,-0.26343,-0.278541,1.21901,0.0138877
28,0.269758,-0.0861493,1.46267,0.0267333,-0.114467,0.092354,0.106728,-0.193328,0.990755,0.179334,-0.260227,1.09675,0.305339,-0.418493,0.806817,0.299461,-0.0447245,0.0618051,0.0533695,-0.199996,0.472093,0.14778,-0.0487285,1.00054,0.053055,-0.174452,1.43742,0.193472,-0.284218,0.0660365,0.0516012,-0.372596,0.88067,0.242224,-0.339945,0.864242,0.304643,-0.0616635,0.200968,-0.112346,-0.107148,1.09718,-0.244505,-0.172538,0.756583,-0.276299,0.00326135,0.20456,-0.0311979,-0.333641,0.516692,-0.150974,-0.0458353,0.993827,-0.0107575,-0.146157,1.43997,-0.15254,-0.182023,0.0799203,-0.0992452,-0.180944,0.854149,-0.217402,-0.125254,0.840942,-0.262788,-0.277616,1.21864,0.0142277
29,0.279749,-0.0859355,1.46268,0.0276793,-0.106635,0.0923307,0.106557,-0.192366,0.990274,0.179533,-0.264761,1.0979,0.306019,-0.428111,0.81093,0.297583,-0.0367372,0.0618731,0.0533027,-0.193851,0.471678,0.14768,-0.0474471,1.00042,0.0536267,-0.175151,1.43747,0.193792,-0.276216,0.0659937,0.05166,-0.379875,0.883953,0.241241,-0.348585,0.866779,0.304156,-0.0771845,0.191974,-0.112432,-0.102112,1.09708,-0.24356,-0.164982,0.756147,-0.276875,-0.012175,0.192354,-0.0310451,-0.336402,0.518769,-0.150169,-0.0444035,0.993767,-0.0101761,-0.144606,1.4395,-0.152031,-0.202966,0.0770692,-0.10023,-0.17533,0.853884,-0.218408,-0.117901,0.84072,-0.262109,-0.276665,1.21815,0.0146605
30,0.28974,-0.0857309,1.46259,0.0285238,-0.0986731,0.0923365,0.106503,-0.191637,0.989749,0.179568,-0.269009,1.09889,0.306605,-0.437172,0.81491,0.295506,-0.0287532,0.0619518,0.0532761,-0.187957,0.471256,0.147551,-0.0461767,1.0002,0.0541874,-0.176074,1.43758,0.194116,-0.268257,0.0659415,0.0516482,-0.387026,0.887086,0.240057,-0.356734,0.86924,0.303431,-0.0931866,0.18301,-0.112787,-0.0973706,1.09688,-0.242605,-0.157453,0.755646,-0.277262,-0.0280842,0.180138,-0.0311882,-0.338638,0.520587,-0.149302,-0.0429627,0.993639,-0.00965054,-0.143094,1.43889,-0.15156,-0.224352,0.0743931,-0.100944,-0.169835,0.853519,-0.21943,-0.110622,0.840419,-0.261382,-0.2757,1.21758,0.0151075
