Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10,x39,x40,RASI
226,0.0368149,0.0198534,0.00166951,0.05263,0.0353694,0.0163808,0.0708439,0.014122,0.00723082,0.00819725,0.0191686,0.0275638,0.020842,0.0188994,0.00697924,0.017458,0.0157857,0.0196841,0.0135596,0.0104091,0.0629455,0.0380782,0.045788,0.0693113,0.0199977,0.0309411,0.0124999,0.0167249,0.0281391,0.0404423,0.0240703,0.00935789,0.0168071,0.0349749,0.00786775,0.0130738,0.0361046,0.0574466,0,0,0.0535132
227,0.0357955,0.0186167,0.00139016,0.0516474,0.0330783,0.0159314,0.0695916,0.0132316,0.00696524,0.00877482,0.0183896,0.0269374,0.0213822,0.0183617,0.00636999,0.0177168,0.0163276,0.0190767,0.0129636,0.0104188,0.0612393,0.0385595,0.0414367,0.0690574,0.0188486,0.0280234,0.0120914,0.0171612,0.0271757,0.0391132,0.0241623,0.00903455,0.0178311,0.0315496,0.00783839,0.0127051,0.0332702,0.0571233,0,0,0.0536033
228,0.0348013,0.0173258,0.00135484,0.0508092,0.0309133,0.0154604,0.0684606,0.0123784,0.00690717,0.00933991,0.0176333,0.0263973,0.0217686,0.0176435,0.00579365,0.0179838,0.0168989,0.0186814,0.0122852,0.0104361,0.0595406,0.0392267,0.0371408,0.0689092,0.0174832,0.0250392,0.0117861,0.0175037,0.0262562,0.0377909,0.0244276,0.00876501,0.0185986,0.0280685,0.00806605,0.0119278,0.0301794,0.0566347,0,0,0.0536518
229,0.0337511,0.0159676,0.00146084,0.0501327,0.0288617,0.0152497,0.0674119,0.0115327,0.00702225,0.00987115,0.0169433,0.0259747,0.0220183,0.016786,0.00523678,0.0182218,0.017369,0.0182679,0.0115977,0.0104827,0.057994,0.0399923,0.032943,0.0687687,0.0157534,0.0220107,0.0115941,0.0177317,0.0254117,0.036565,0.0248942,0.00852271,0.0192805,0.0246767,0.00808589,0.0107136,0.027415,0.0558938,0,0,0.0536617
230,0.0327053,0.0148613,0.00159038,0.0495601,0.0269433,0.0152637,0.0664322,0.0107158,0.00725195,0.0103447,0.0163434,0.025662,0.0220873,0.01592,0.00473484,0.0184308,0.0176184,0.0177847,0.0110093,0.0104898,0.056581,0.0406812,0.028898,0.0685918,0.0136756,0.0191822,0.0113527,0.0178253,0.0246689,0.0354918,0.02555,0.00823883,0.0198557,0.0214367,0.00806968,0.00928584,0.0251371,0.0549096,0,0,0.0536184
231,0.031764,0.0137338,0.00170508,0.0490749,0.0251229,0.015329,0.0654541,0.00999103,0.00734054,0.0107714,0.015817,0.0254662,0.0220216,0.0151631,0.0043818,0.018629,0.0175805,0.017568,0.0104628,0.0102249,0.0552316,0.0411406,0.0250754,0.0684045,0.0114371,0.01679,0.0112347,0.0177869,0.0240094,0.0346326,0.0263839,0.00793437,0.0203128,0.0184116,0.00823768,0.00782691,0.0232786,0.0537705,0,0,0.0535369
232,0.0309631,0.0127119,0.00179074,0.0486765,0.0234001,0.0153266,0.0644615,0.00941648,0.00737969,0.0111846,0.0153558,0.0253786,0.0219279,0.0145623,0.00422336,0.0188217,0.0172449,0.0176586,0.00996639,0.00994796,0.0539695,0.0417032,0.0215494,0.0682963,0.00940736,0.0149807,0.0111517,0.017602,0.0234671,0.0340333,0.0273254,0.00769228,0.0206698,0.0158245,0.00865344,0.00670312,0.0216783,0.052641,0,0,0.0534059
233,0.0302821,0.0119107,0.0018566,0.048343,0.021736,0.0154114,0.0634334,0.00901163,0.00735155,0.0115745,0.0149632,0.0253635,0.0218744,0.0141234,0.0038232,0.0190176,0.0167483,0.0176534,0.00954574,0.00972818,0.05281,0.0423392,0.0183564,0.0680061,0.00796864,0.0135149,0.0110121,0.0173055,0.0230517,0.0336498,0.0283323,0.00757545,0.0206706,0.0136269,0.00921672,0.00622024,0.0204151,0.0515997,0,0,0.0532916
234,0.0297659,0.0113966,0.00188699,0.0480561,0.0200912,0.0155417,0.0622762,0.00877922,0.0070901,0.0119195,0.014654,0.0254195,0.0218677,0.0138477,0.00341803,0.0192044,0.016042,0.0177643,0.00922996,0.00944333,0.0516892,0.042652,0.0153965,0.067534,0.00752744,0.0126279,0.0108089,0.0169707,0.022738,0.0334136,0.0293722,0.00730643,0.0204214,0.0117955,0.00976579,0.00637652,0.0194755,0.050694,0,0,0.0532136
235,0.0293982,0.0111069,0.00188126,0.047806,0.0184433,0.0158096,0.0608655,0.00871054,0.00641663,0.0122294,0.0144387,0.0255112,0.021867,0.0137117,0.00322952,0.0193835,0.0149584,0.0177462,0.00906043,0.00898929,0.0505587,0.0429127,0.012807,0.0669197,0.00792014,0.0122397,0.0105196,0.0166427,0.0225801,0.0333241,0.0304006,0.00688947,0.0200313,0.0103126,0.0102063,0.00687328,0.0187865,0.049929,0,0,0.0531756
